Reference,Qty,Value,Footprint,LCSC
"C1,C2,C7,C8",4,10u,0805,
"C3,C4,C5,C6,C10,C14,C19,C21,C22,C27,C28,C38,C41,C57",14,2.2u,0603,
"C9,C11",2,20p,0402,
"C12,C13,C15,C16,C17,C18,C23,C24,C30,C31,C40,C43,C45,C47,C51,C53,C55,C56,C58,C59,C61",21,100n,0402,
"C25,C26,C60",3,1n,0402,
C29,1,470n,0603,
"C32,C33,C34,C35,C36,C37",6,4.7n,0402,
"C39,C42,C44,C46,C50,C52,C54",7,10u,0603,
"D1,D2,D3",3,1N4007,Diode_SMD:D_SOD-323,C2128
"D6,D7,D8",3,LED,0603,C2286
H1,1,MountingHole,Holes:MountingHole_3.2mm_M3_Pad,
J1,1,USB_B_Micro,Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,C132562
J2,1,Conn_ST_STDC14,Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical,
J3,1,gpio,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J4,1,misc,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J5,1,inputs,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J6,1,audio_dac_power,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J7,1,eurorack_power,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,
JP1,1,tie,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
"R3,R4,R14,R15,R16,R17,R18,R33,R34,R39,R41,R45,R50",13,1k,0603,
"R5,R36",2,10k,0603,
"R6,R7,R12,R13",4,15k,0603,
"R8,R9,R10,R11,R19,R20,R21,R22,R43,R46,R47,R49",12,100k,0603,
"R23,R24,R25,R26",4,200k,0603,
"R27,R28,R29,R30,R40,R42,R44",7,33k,0603,
"R31,R35,R37",3,0,0402,
R48,1,160k,0603,
SW1,1,SW_Push,Button_Switch_SMD:SW_SPST_TS-1088-xR025,C720477
U2,1,L78L05_SOT89,Package_TO_SOT_SMD:SOT-89-3,C71136
U3,1,STM32G474CCTx,Package_QFP:LQFP-48_7x7mm_P0.5mm,C730124
"U4,U12",2,TL074,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C6964
U5,1,PCM1808,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C55513
U6,1,LM4040DBZ-10,Package_TO_SOT_SMD:SOT-23,C48031102
"U7,U8",2,TLV2372,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C27204
U9,1,PCM5102A,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,
U10,1,HT7533-1-SOT89,Package_TO_SOT_SMD:SOT-89-3,C14289
U11,1,XC6206P332MR,Package_TO_SOT_SMD:SOT-23-3,C5446
Y1,1,12.288 MHz,Components:Crystal_SMD_3225-4Pin_3.2x2.5mm_Lagom,C362472
